City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
484,Kilosa,TZ,72.27,light rain,-6.8333,36.9833,New Bondeni Hotel
485,Mangrol,IN,91.85,overcast clouds,21.1167,70.1167,Hotel The Royal Honours
486,Puerto Madero,MX,83.14,overcast clouds,14.7208,-92.4215,Hotel La Central
488,Alice Springs,AU,75.2,clear sky,-23.7,133.8833,Desert Palms Alice Springs
490,Singaraja,ID,83.37,few clouds,-8.112,115.0882,Puri Bagus Lovina Resort
492,Calderitas,MX,81.0,scattered clouds,18.55,-88.25,Hotel Hacienda Campestre
495,Kattivakkam,IN,89.6,scattered clouds,13.2167,80.3167,Raj's villa
496,Port Macquarie,AU,71.01,clear sky,-31.4333,152.9167,Rydges Port Macquarie
499,Matay,EG,80.94,clear sky,28.419,30.7792,Nag Aespen
504,Mwingi,KE,73.56,light rain,-0.9344,38.0601,Thorn Tree by The Address
505,Dwarka,IN,87.85,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
506,Omboue,GA,74.05,broken clouds,-1.5746,9.2618,Hotel Olako
511,Bunia,CD,65.7,light rain,1.5667,30.25,Gold Star International Hotel
513,Miri,MY,84.2,light rain,4.4148,114.0089,"Mega Hotel, Miri"
516,Nelson Bay,AU,69.01,scattered clouds,-32.7167,152.15,Mantra Nelson Bay
517,Aksu,CN,65.66,broken clouds,41.1231,80.2644,Pudong Holiday Hotel
519,Sola,VU,79.95,light rain,-13.8833,167.55,Leumerus Bungalows
523,Yeppoon,AU,82.4,scattered clouds,-23.1333,150.7333,Villa Mar Colina
524,Dalby,AU,75.2,clear sky,-27.1833,151.2667,Kobbers Motor Inn Dalby
528,Cururupu,BR,74.71,overcast clouds,-1.8283,-44.8683,Pousada Través'cia
531,Ampanihy,MG,80.87,clear sky,-24.7,44.75,Angora Hotel
