City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
317,Zhangye,37,CN,2021-04-20 23:41:36,32,38.9342,100.4517,55.35,4.65
318,Souillac,75,MU,2021-04-20 23:41:36,94,-20.5167,57.5167,77.0,6.91
319,Okahandja,10,NA,2021-04-20 23:41:37,58,-21.9833,16.9167,61.0,4.61
320,Aksarka,94,RU,2021-04-20 23:41:37,97,66.5606,67.7975,19.87,6.85
321,Potsdam,11,DE,2021-04-20 23:41:38,67,52.3989,13.0657,46.99,3.94
322,Sioux Lookout,75,CA,2021-04-20 23:41:38,40,50.1001,-91.917,28.4,8.05
323,Kazerun,25,IR,2021-04-20 23:41:38,29,29.6195,51.6541,71.71,1.77
324,Kruisfontein,31,ZA,2021-04-20 23:41:39,93,-34.0033,24.7314,60.01,1.99
325,Lapy,23,PL,2021-04-20 23:41:40,72,52.9911,22.8842,45.0,4.5
326,Balagansk,100,RU,2021-04-20 23:41:40,46,54.0103,103.0544,25.3,9.19
327,Ayan,51,RU,2021-04-20 23:41:40,66,56.45,138.1667,32.02,8.9
328,Swan Hill,0,AU,2021-04-20 23:41:41,42,-35.3378,143.5544,53.8,6.69
329,Namibe,43,AO,2021-04-20 23:41:41,77,-15.1961,12.1522,80.78,2.28
330,Alofi,75,NU,2021-04-20 23:41:41,74,-19.0595,-169.9187,86.0,13.8
331,Mount Gambier,90,AU,2021-04-20 23:41:42,81,-37.8333,140.7667,46.4,10.36
332,Alta Floresta,20,BR,2021-04-20 23:41:42,89,-9.8756,-56.0861,78.8,3.44
333,Filingue,24,NE,2021-04-20 23:41:42,23,14.3521,3.3168,90.73,9.6
334,Paungde,0,MM,2021-04-20 23:41:43,67,18.4833,95.5,81.28,6.33
335,Coremas,90,BR,2021-04-20 23:41:44,75,-7.0144,-37.9458,76.46,1.9
336,Upata,68,VE,2021-04-20 23:41:44,60,8.0086,-62.3989,84.99,5.01
337,Lasa,0,IT,2021-04-20 23:41:44,70,46.6166,10.7002,37.4,3.44
338,Seoul,77,KR,2021-04-20 23:38:13,67,37.5683,126.9778,55.4,2.3
339,Nsanje,100,MW,2021-04-20 23:41:45,95,-16.92,35.262,65.68,2.06
340,Margate,12,GB,2021-04-20 23:41:45,97,51.3813,1.3862,48.99,6.04
341,Necaxa,100,MX,2021-04-20 23:41:46,79,20.2167,-98.0,66.25,5.1
342,Tsivilsk,0,RU,2021-04-20 23:41:46,30,55.8611,47.4664,41.0,17.9
343,Batagay-Alyta,71,RU,2021-04-20 23:41:47,84,67.8006,130.4114,8.55,1.97
344,Norman Wells,90,CA,2021-04-20 23:41:47,69,65.282,-126.8329,32.0,19.57
345,Buin,75,CL,2021-04-20 23:41:48,63,-33.7333,-70.75,64.99,13.8
